R, m,likelihood
12.94652,2.12094,5.50173029417752
11.34055,2.05704,0.958475027891623
15.46238,2.18904,5.93130364122731
13.68804,2.08026,6.66515589799645
13.64948,2.21968,0.215143938825112
12.64812,2.07874,2.33778681722014
12.69971,2.13653,1.65347742837963
18.14267,1.99402,3.5725258472245
13.74109,2.16785,0.967041298465692
14.7176,1.98992,7.41856272765714
17.05386,2.06342,13.0135471025337
11.7072,2.06619,11.4913470156972
16.18273,2.17618,12.6170228872795
14.53872,1.9515,19.7886571417264
12.9714,2.18613,1.94241516016184
13.68714,2.17229,4.46462454739869
13.78626,1.98929,25.3478999264911
13.67547,2.03315,51.150895140665
13.99736,2.13585,10.6971320988843
14.36562,2.17511,2.11834785813848
12.97942,2.14154,2.17028489329794
13.65081,2.02058,5.88121129427817
15.36026,2.07559,31.6656111462951
15.10716,2.11407,4.55298767050939
15.52759,2.0099,2.03310298276539
11.78381,2.0019,2.01442732852691
12.32138,2.17951,1.68997993993811
15.92115,1.97908,28.4600278908273
12.09812,1.91621,1.95336535550273
16.92707,2.12085,15.8476093881238
12.84835,2.16626,0.328816598924967
13.21731,2.17121,2.10103454941213
13.8669,2.02486,4.02417725695981
13.50577,2.16575,6.24352234556647
14.47221,2.04188,54.8365869708269
15.5888,2.22182,3.39153202284536
16.10123,2.17921,9.33166607566115
18.20842,2.13538,6.30688017558354
17.77594,2.21994,2.14752186714141
15.90722,2.13376,3.93188404087587
14.22405,2.22553,2.99880647502294
15.0266,2.23412,0.730566386202231
15.80059,2.20471,2.80393223456575
14.46949,2.06153,29.6868042155262
12.75023,2.29176,0.161153939561149
17.55533,1.94712,33.2038383637148
11.7846,2.03132,4.73375021893595
15.67096,2.22038,1.84944072912351
12.7236,2.0207,5.80006032062734
12.22067,2.08282,1.97176822258897
12.54774,2.01796,5.79871500475495
12.58598,1.96736,16.853175138196
10.60785,1.9691,2.12847020460984
12.28772,1.97469,4.87602701318965
19.81421,2.01006,13.0468250551228
19.11077,2.0571,12.4237492390454
11.18786,2.09631,0.391253757014202
13.27151,2.22589,0.302760662549323
12.01363,2.12697,2.4975024975025
13.7689,2.03317,5.15660612811072
14.74023,2.05943,29.8989415774682
12.28798,2.14107,0.641994806262017
14.08723,2.10792,7.10393771267414
12.59959,2.07918,12.9801015043938
11.57309,2.03065,1.35553519240467
14.65955,2.12978,3.46782723284726
21.1116,2.08694,5.78201792425557
12.05094,1.94106,3.7397157816006
15.31653,2.11518,7.2263733722594
10.95357,1.94514,8.97134552240145
13.19291,2.17936,1.62049603383596
12.25131,1.93964,14.0473113446086
18.39666,2.1319,62.8259094050386
13.66839,2.17384,2.40677941625972
12.96623,2.07229,50.436273768094
13.53493,2.01084,4.48881387582145
11.70683,1.89877,0.361298825923335
14.87685,2.05206,1.3085785173282
12.82599,2.17062,4.84756821740374
12.64656,2.21684,0.916870135430888
13.14276,1.96509,14.9646833473004
14.61056,1.97283,5.62344300921682
20.5649,2.13344,1.516734894458
12.71305,2.17263,0.821337021684119
16.46901,2.09524,4.10601736845347
12.48265,2.19266,2.21723590503135
12.14913,1.99601,8.82776154450516
12.3807,2.03663,16.1240910043696
12.59543,2.15655,2.83848992336077
12.02153,2.01656,2.62816924358661
11.79663,2.16057,0.626646906400885
15.78556,2.06162,12.7074491066663
17.42219,2.18026,6.14601707363543
15.68341,2.19243,12.0153315630745
13.00199,2.05252,5.58590564288188
15.78292,2.06029,32.6968349463772
13.36818,1.97619,14.9024633771963
13.54627,2.06993,4.42270439528363
16.73508,1.9975,37.9305113032924
11.81888,2.04613,2.26773310595529
14.42219,2.13534,0.787601265832755
14.87555,2.24932,0.159362067270235
14.19761,2.15957,0.730737752835262
13.7421,1.97598,4.97633751511563
14.52609,2.11345,10.9259765091505
13.02835,2.0578,3.54219282989327
16.43061,2.16262,7.16163084657638
14.84874,2.1297,1.65897730684942
18.41667,2.16353,18.038168765107
14.68907,2.1779,6.9268387293407
14.19628,2.22174,4.65226635155316
15.06843,2.16251,7.70998134184515
15.00617,2.30828,0.298981638640626
11.1136,2.03763,2.34027067570635
15.91256,2.07475,77.8694907335306
13.46294,2.174,0.421567742985324
12.76407,2.18609,2.38849890009626
12.10733,2.09437,97.3046608932568
13.18207,2.07679,1.46407310995482
13.56368,2.0546,19.2215281114849
12.0115,1.98551,13.0799314611591
14.07939,2.25542,1.78754332558135
11.74329,2.04305,4.97589180420861
12.08353,2.12465,0.545855699770631
11.10889,1.92781,10.4954921861061
11.33993,1.94249,0.681037929045382
12.00394,2.06776,2.09526762853419
14.3617,2.04482,26.9549044448637
12.48783,2.07969,6.76947238732213
12.20473,2.12213,6.39950851774584
11.49184,2.05822,20.4607766910832
13.2239,2.13046,0.960213551493852
17.88419,2.04906,9.95718410833416
14.34858,1.99996,33.82949932341
13.73822,2.03133,1.15605065351543
16.27946,2.05905,12.1979483050951
11.75101,1.87559,0.599452100779887
16.61387,2.01068,9.64217874670961
12.11183,2.14906,1.19509152010861
12.4502,2.03917,25.5689082076195
12.47684,2.13941,11.3421121281205
12.15767,2.1852,0.523161675268316
13.24868,2.183,5.65262366527424
16.96475,2.04735,2.87020639654198
13.00513,2.07026,2.27518861313603
13.42775,2.20639,1.74995581361571
14.23734,2.22158,1.94101639382446
14.27515,2.08803,1.52748946414142
13.15011,2.21706,2.90690914164787
12.76516,2.16578,2.60838491414501
12.39295,1.99597,22.5245517614199
11.68414,2.023,0.593187361787345
10.71546,1.97058,0.954973933986472
15.52537,2.11548,5.12001310723355
11.76285,2.03057,2.17065705789142
13.06073,2.14263,0.698700208003052
11.56362,2.00576,0.812135909320153
11.67665,2.0818,1.17099035338147
11.59545,1.87619,0.492264554786091
14.00918,2.27704,0.589393278559051
13.0758,2.20942,2.04120373866877
15.61494,2.09233,5.1702030855772
12.91733,2.15174,13.2890365448505
12.83597,1.89454,0.920017369927944
15.55641,2.02291,3.90741001234742
12.43567,2.20153,1.01199825126702
12.4794,2.13964,4.17585354446449
15.44396,2.3286,0.146221062851662
13.12071,2.07234,3.62362166490921
12.5169,1.98985,3.60255204787071
16.01982,2.0939,11.5584220442225
15.93616,2.00715,2.28373070247556
13.65271,2.1733,0.662733124660763
