Lambda1,Lambda2,m1,m2,likelihood
69.5569468455002,334.187974656611,1.5704287540998,1.19342018717414,1.01357436887784
346.72078046178,753.059565089068,1.61683942276109,1.15309463401724,1.02094713392235
280.876759991286,25.1510415080632,1.37562267676491,1.35243874649715,1.01705386934534
345.316809047733,47.360859971537,1.37641368692365,1.34961255901364,1.01841085816518
601.783461961923,472.317280465373,1.45157776320195,1.28129513769903,1.01837955662478
559.991098046242,558.021023655955,1.42434479540455,1.3133714344899,1.01198776834816
358.13668974771,490.826988687673,1.59015495522879,1.17110204455452,1.02109741532659
292.537976232181,212.706407018754,1.52065623966192,1.22631371518344,1.01712220492645
459.696006862109,439.928150551357,1.3771238402795,1.35409246896364,1.01471241420428
702.007292252725,72.6740587196592,1.45702928186974,1.2786830680343,1.01655685604672
193.249808171177,1088.96275906753,1.58087755670138,1.18021789321109,1.01876700461909
292.208592657825,538.797690464849,1.60094216314951,1.16461001988784,1.0201543446568
285.614369371223,177.910644143025,1.53316597360648,1.21425962765199,1.01921457756619
466.391117166151,1401.78835898048,1.40423179245888,1.33535569178446,1.00945798796995
203.542733931385,959.547905847444,1.37311865451469,1.35372470589671,1.01813273617291
855.403811226005,365.22564543698,1.44423905970932,1.29663068462281,1.01118188704892
348.637332263991,869.715692584427,1.43400021338264,1.29443225238844,1.02008700916413
73.4892163044508,812.129011439495,1.40412976898926,1.32197290343838,1.01949650411122
3.49733550910122,1743.43383722282,1.47094194280879,1.26412459484829,1.01900633511228
329.189821520534,20.3137926602241,1.4738397791682,1.27490415936626,1.00805777319344
65.1111955094217,386.342991927991,1.44098933351371,1.28730125258243,1.02066441000336
411.527978550052,278.673989600941,1.4990155217001,1.24738414779142,1.01365982171507
215.262184834774,217.106763876605,1.41707655595586,1.31491876505841,1.0157240417564
1141.80974810098,94.9241424613027,1.42576306931122,1.30187509815041,1.01988012798407
899.978611017185,317.262707359543,1.39304140172183,1.33837167217376,1.01513314682045
247.417326055002,1332.85029316426,1.5400187442856,1.20894501709525,1.01938142851176
206.735162776908,1089.03870956255,1.49310411133368,1.24820340710709,1.01714318992997
15.6422158907021,1764.51914706289,1.40397442875619,1.32784188498186,1.01530312509581
428.185047553733,8.58279365431698,1.46690024788887,1.26539644849287,1.02040024531756
505.265963251449,64.6782347853879,1.36939164279234,1.35338662839871,1.02105228617831
70.9756640242317,678.720935060266,1.66028784520989,1.13616721641968,1.01047098731014
93.3485459813088,312.585327225761,1.56790730987858,1.19139840598448,1.01682982692721
133.319978079393,1355.01727097124,1.49106907926111,1.2509044730611,1.0162947156702
444.226041633445,809.050055467464,1.50131336499725,1.23921685693918,1.01915110932811
308.343963563941,87.9263536281994,1.54780031957621,1.20773548860891,1.01535931496692
677.235778124344,1054.57162689657,1.59200066669164,1.17074385001677,1.02030570027985
598.469167597331,1291.42695561521,1.56043723878156,1.19978599578838,1.01433318363688
250.695546970267,93.2153868182744,1.4960856941379,1.24289833668464,1.01929233797754
285.075337737687,230.849150391374,1.41325463871467,1.31713587023684,1.01680697399525
278.776663481689,294.376788509812,1.40162286298814,1.32541804213189,1.01868074359034
98.654557027704,1599.86015751383,1.444289990007,1.28450853508161,1.02083797412468
137.602449428506,342.371907001885,1.45478141890701,1.27642842990054,1.01984957283978
257.406625323488,114.732470595168,1.6461788444096,1.14082168154032,1.0144730186875
443.773646566325,115.67158217702,1.40634529640797,1.32894039972337,1.01258929701616
