m,R,likelihood
1.29077858697,11.6646476462,1.05412399660572
1.3595854606,12.879164604,1.22002549853292
1.45545662465,13.2284692807,1.20231903295076
1.31262773463,12.9661014952,1.2807885558981
1.28186032134,11.7493717187,1.07693285215974
1.36107090073,12.7205709015,1.18886414730502
1.8234293765,15.4332840167,1.30625382079243
1.48777653976,13.3934480085,1.20572138913573
1.47273902102,12.6964188085,1.09455295720845
1.33592716517,12.4802561754,1.16590746658801
1.55702798151,13.9761677891,1.25452570146805
1.5014773078,12.8685459026,1.10291035985759
1.34540382317,11.6801315847,1.01401161246099
1.45810428588,13.2849690494,1.2104104986165
1.20223613952,11.4122817066,1.08331563917789
1.29644995345,11.8440990412,1.08205200341928
1.25399458587,11.8324605497,1.11648886581479
1.40142996324,13.0476527347,1.21476867160187
1.50949005743,15.0610263809,1.5027221812313
1.36328273598,12.3173356972,1.11287811425029
1.50872452156,12.9597446656,1.11322500169767
1.65426166286,14.3115572235,1.23814016489551
1.33017955814,12.866156507,1.24447917924109
1.54998635504,12.8259863927,1.06133790133166
1.42959706311,14.6096707872,1.49302533216081
1.38418369826,13.130198451,1.24551459058067
1.73534762142,15.1613066989,1.32460682357959
1.43282660596,13.068629916,1.19197325212022
1.63987821562,13.9396821762,1.18493380367306
1.42273796745,12.616106092,1.11873091165382
1.65078217353,14.9042328553,1.34564146728746
1.23424064463,12.1759941813,1.20118244399787
1.35435207223,12.5051282141,1.15463441387871
1.48193495421,12.3431365267,1.02806832130836
1.46365695159,13.4575868317,1.23735730176917
1.60872086675,13.1737077673,1.0787858912066
1.64807845763,15.0963789882,1.38282558282641
1.44109313298,12.9094523791,1.15644102960258
1.36823138984,12.4946292469,1.14100415211411
1.547204493,14.2000756616,1.30326781371611
1.54119220181,13.6793456082,1.21415363171564
1.3849277322,13.0899631009,1.23722870667534
1.51022748792,12.7729604358,1.0802915923066
1.46006679173,13.7050352823,1.28643505689902
1.37187079782,11.7494488056,1.00628728294383
1.76116432689,16.3572086253,1.51921195437503
1.4727939869,13.304178019,1.20180462983216
1.54319840581,13.5458919851,1.18903236546099
1.54309755268,14.0906569856,1.28667506436592
1.32402117443,12.2495859167,1.13330756947459
1.54569456903,13.6682722954,1.2086578579682
1.57868382125,13.3185590712,1.12361949300041
1.29977634001,12.5963293218,1.22072994767951
1.43731807982,13.1701508846,1.20678211548905
1.30929814116,11.4854287448,1.00752520576184
1.54245830619,13.7618797213,1.22784054771511
1.3908343831,11.687335562,0.982096382939022
1.21696879956,11.6330357247,1.11200442132958
1.74783842035,14.4450487096,1.1938146077543
1.26291340646,11.7557317646,1.09427268618776
1.36375839262,13.0315339862,1.24524162045783
1.34812535094,12.6459416218,1.18623821324055
1.65959720619,13.9026484445,1.16464193665978
1.44533771704,14.7162356402,1.49838773479736
1.61127820322,14.3196772216,1.27261111803977
1.13050516868,10.7882528302,1.02950775116386
1.77978742487,16.3421424013,1.50054845045864
1.28267768985,10.8119160944,0.911352720843548
1.44387610636,12.5469062803,1.09029376875305
1.34384849623,11.6069013822,1.00249521057913
1.45281565158,12.2347791367,1.03034255799026
1.29028359529,12.3948743405,1.19069164896505
1.3663591839,12.0673338488,1.06575608466793
1.26345608575,11.1216762543,0.978990856225403
1.63427535394,15.7084235873,1.50987154012937
1.38408000885,12.7010448529,1.16551474958916
1.35802951515,11.5741768971,0.986436498150432
1.51057836672,13.3603362105,1.1816573689926
1.42173863368,14.0413920213,1.38675675038517
1.28188379979,12.8348813406,1.28509431949758
1.61390041536,15.3272614699,1.45563373926106
1.58119316846,15.1407555219,1.44980695820352
1.42834901412,13.2345341435,1.22626111758986
1.13545974813,11.5485733465,1.17458572361528
1.52055564795,13.1864745724,1.14354980731186
1.47917840507,12.8315364292,1.11310604449975
1.2783541796,11.8222914129,1.09333231288984
1.18484008917,11.393240205,1.09555664137392
1.27151362491,11.4876123218,1.03785902138197
1.48772820246,13.426788521,1.21177163436487
1.393344192,14.0332127979,1.4133696286654
1.67820612222,14.9339918482,1.32894427337978
1.7204281329,14.8931213406,1.28924294365106
1.67433850656,14.2338063135,1.21003701503229
1.22771251627,11.5715336114,1.09064931807151
1.40267265745,13.3329972216,1.2673580527297
1.58094059991,14.1197093083,1.26106108201563
1.44076755486,12.3424173065,1.0573205171989
1.33202639093,11.8562145804,1.05530761689379
1.60005283967,14.2279699251,1.26517738419515
1.63966441959,14.6675123227,1.31207251037521
1.5926459424,13.5998792731,1.16131744496226
1.47556980176,13.3374090351,1.20554405600475
1.30882059212,11.4756779267,1.00618198209801
1.45656989846,13.0421036955,1.16778774289985
1.67735376764,13.9866670251,1.16628276525644
1.43443621276,13.7418544307,1.31646502810653
1.53091536429,14.1353094672,1.30514737071536
1.31370095745,13.2521676234,1.33683405611495
1.31088773307,12.7085052715,1.23203538405623
1.25940198844,11.6792538828,1.0830927062371
1.48274110412,14.0901707651,1.3389587453421
1.48781806097,12.9082654331,1.11991739489295
1.38188277008,12.8451434566,1.19400703986551
1.53876110474,13.6410344311,1.20927026585807
1.42657143095,12.7056174927,1.13161343179879
1.27467686706,11.2344466059,0.990157831158287
1.31986687371,11.1404259405,0.94031801555286
1.61006567376,15.5010665317,1.49238139298879
1.66809729758,13.5922146038,1.10753868355737
1.52113058261,13.16062036,1.13863962169837
1.83457986941,14.5938997788,1.16093050902159
1.37669455192,14.2769160556,1.48057778067313
1.51691937276,14.4453301722,1.37560096567188
1.62740198329,15.4814080816,1.47274103616168
1.66300267461,14.5425141239,1.27170320481925
1.38055408256,12.5844785152,1.14714155267903
1.13597820912,10.2614955977,0.926938692274893
1.48175015502,12.8353341277,1.11183256691008
1.58453381386,14.1263371951,1.25938239887159
1.39785945107,11.6243503112,0.966659900047366
1.44273649748,12.9691810254,1.16583814435874
1.44132752089,12.7587573535,1.12941644181868
1.16690367808,10.3595974121,0.919709371838499
1.37040745219,11.6342995454,0.987712852119632
1.22899094798,11.7818679603,1.12948277595241
1.43797273013,13.2123510766,1.21397380972903
1.55877948648,13.7658182539,1.21567983855772
1.39697400344,13.2929473083,1.26489412836146
1.29942491866,12.0264883885,1.11308002600155
1.53448493905,12.8857146034,1.08206722450839
1.38655763211,12.6793142764,1.15945389721441
1.39444761765,14.3194694515,1.47045416447324
1.2961596563,11.9572845207,1.10307946694788
1.48576403931,13.8223915097,1.28592719851758
1.48655222418,14.0803622368,1.33366763935493
1.45646299913,13.0491171432,1.16912982836005
1.25316607133,11.2541035458,1.01067883254467
1.36483835434,12.0035819188,1.05569977587494
1.37816585561,12.7512168685,1.17978230656879
1.40846085813,12.887334709,1.17918409893826
1.01717237132,10.3517878309,1.0535043241085
1.43441625657,12.4908444414,1.08769781144323
1.08952846195,10.0469532357,0.926466364638632
1.19511205377,11.4438661396,1.09581475470735
1.56610940468,13.8940202776,1.23263221213107
1.7334304545,14.4819498875,1.20989500531144
1.38147235841,11.9552737785,1.03461083630698
